Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%,Team,POS,ADP,rPTS,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId,value
Pablo Lopez,18786,17085.0,sa736473,MIN,SP,16.82,17.0,9,36,24.8,97.799,MIN,SP,35.0299987792968,934.571450424194,26.0364360351444,16.8711655158394,43.9076015509839,61.9667374655816,18.0,17085,25.90760155
Carlos Correa,18160,14162.0,sa657850,MIN,SS,16.75,16.0,1,48,13.6,65.723,MIN,SS,243.809997558593,706.274497489631,-5.55367601868594,14.934803001757,10.381126983071,14.8609795208877,,14162,0.0
J.T. Realmuto,14864,11739.0,sa548255,PHI,C,16.64,16.0,5,35,10.8,67.925,PHI,C,73.3000030517578,642.058833932876,-14.4393837834777,26.5235068337783,13.0841230503005,18.8547612062352,,11739,0.0
Raisel Iglesias,18422,17130.0,sa830702,ATL,RP,16.59,16.0,3,40,16.6,86.792,ATL,RP,59.7099990844726,477.797749853134,-37.168666787312,53.3888204665082,17.2201536791962,24.6100354755524,12.0,17130,5.220153679
Teoscar Hernandez,23651,13066.0,sa596861,LAD,OF,15.97,15.0,7,32,18.2,85.849,LAD,OF/DH,124.269996643066,691.642074620723,-7.57840684450782,21.885622661012,15.3072158165042,21.8621000299147,12.0,13066,3.307215817
Brandon Nimmo,18126,12927.0,sa597760,NYM,OF,15.64,16.0,5,34,19.5,95.597,NYM,OF/DH,199.350006103515,811.034926986694,8.94232869832925,21.885622661012,31.8279513593413,45.2809577061389,12.0,12927,19.82795136
Michael Harris II,37295,25931.0,sa3010684,ATL,OF,15.31,14.0,5,51,32.8,97.799,ATL,OF,28.6299991607666,817.208188390731,9.79654079789692,21.885622661012,32.682163458909,46.4728485451858,14.0,25931,18.68216346
Dansby Swanson,18506,18314.0,sa659260,CHC,SS,15.31,15.0,6,28,14.9,89.623,CHC,SS,120.519996643066,765.659851002693,2.66364772444642,14.934803001757,18.5984507262034,27.0023945476327,,18314,0.0
Freddy Peralta,19168,18679.0,sa737343,MIL,SP,15.23,15.0,3,33,22.3,97.799,MIL,SP,53.4799995422363,819.152939033508,10.0656415893545,16.8711655158394,27.9368071051939,39.8282472763106,16.0,18679,11.93680711
Cody Bellinger,19328,15998.0,sa737794,CHC,1B/OF,15.22,15.0,4,36,21.7,96.541,CHC,1B/OF,62.4799995422363,726.605332016944,-2.74043943094309,21.885622661012,20.145183230069,28.7932805671968,11.0,15998,9.14518323
Carlos Rodon,18359,16137.0,sa598286,NYY,SP,15.16,15.0,6,32,14.5,82.39,NYY,SP,136.52000427246,651.809060287475,-13.0902166608649,16.8711655158394,4.78094885497447,6.58649880157241,,16137,0.0
Jung Hoo Lee,44524,,sa3012640,SFG ST,OF,15.06,15.0,1,29,18.2,56.289,SFG,OF,249.570007324218,700.237908792495,-6.38897631908047,21.885622661012,16.4966463419316,23.896896926731,,sa3012640,0.0
Max Muncy,18255,13301.0,sa503373,LAD,3B,15.05,15.0,3,30,10.8,73.585,LAD,3B/DH,186.289993286132,700.756022679805,-6.31728339656713,12.1782023409494,6.86091894438233,9.65973540367449,,13301,0.0
Edwin Diaz,23601,14710.0,sa657938,NYM,RP,14.79,14.0,5,37,19.6,93.711,NYM,RP,43.9399986267089,572.225047969818,-24.1024874533219,53.3888204665082,30.2863330131863,43.1252598050113,12.0,14710,18.28633301
Yu Darvish,15556,13074.0,sa379610,SDP,SP,14.73,14.0,5,28,14.6,62.893,SDP,SP,185.100006103515,634.04533920288,-15.5482343099931,16.8711655158394,2.3229312058463,2.95468224498716,,13074,0.0
Sonny Gray,18113,12768.0,sa455516,STL,SP,14.46,15.0,3,27,18.0,95.912,STL,SP,116.059997558593,740.941346263885,-0.756723526526388,16.8711655158394,17.114441989313,24.8097139935824,,12768,0.0
Oneil Cruz,32291,21711.0,sa917318,PIT,SS,14.12,13.0,6,30,22.4,97.484,PIT,SS,77.9199981689453,692.145611572265,-7.50873097490911,14.934803001757,8.4260720268479,11.8971108382219,7.0,21711,1.426072027
George Kirby,36671,25436.0,sa3011526,SEA,SP,14.12,13.0,5,41,29.9,97.799,SEA,SP,32.9000015258789,887.352431106567,19.5026032697839,16.8711655158394,37.3737687856233,52.986459799447,16.0,25436,21.37376879
Devin Williams,19268,15816.0,sa737560,MIL,RP,13.92,14.0,6,23,15.9,94.969,MIL,RP,44.1899986267089,526.050778388977,-30.4917551650142,53.3888204665082,23.897065301494,34.1264536525755,14.0,15816,9.897065301
Chris Sale,14393,10603.0,sa392121,ATL,SP,13.9,14.0,3,31,18.2,87.421,ATL,SP,121.76000213623,645.304024124145,-13.9903373969166,16.8711655158394,3.8808281189228,5.24517084559237,18.0,10603,-14.11917188
Emmanuel Clase,22568,21032.0,sa873427,CLE,RP,13.85,13.0,7,35,16.5,95.283,CLE,RP,53.7000007629394,539.234339523315,-28.6675075430074,53.3888204665082,25.7213129235007,36.7064247375034,10.0,21032,15.72131292
Logan Gilbert,33682,22250.0,sa3008598,SEA,SP,13.6,13.0,5,28,19.3,97.17,SEA,SP,61.349998474121,849.439430236816,14.2564712895831,16.8711655158394,32.1276368054225,45.6993212792781,12.0,22250,20.12763681
Jesus Luzardo,23741,19959.0,sa917981,MIA,SP,13.55,13.0,5,27,18.9,97.17,MIA,SP,80.5599975585937,810.114635276794,8.81498526310488,16.8711655158394,26.6861507789443,38.0675077761448,24.0,19959,2.686150779
Ian Happ,18479,17919.0,sa827194,CHC,OF,13.22,13.0,5,26,15.6,93.082,CHC,OF,163.58999633789,762.203030920028,2.18531749551603,21.885622661012,25.0709401565281,35.787606161613,12.0,17919,13.07094016
Jazz Chisholm Jr.,23762,20454.0,sa919327,MIA,OF,13.18,12.0,7,30,17.9,95.912,MIA,OF,72.7900009155273,682.874152731895,-8.79164964686231,21.885622661012,14.0939730141497,20.3468537547469,,20454,0.0
Byron Buxton,18163,14161.0,sa657851,MIN ST,Util,12.54,12.0,2,24,14.5,65.094,MIN,DH,248.75,605.25496263504,-19.5320422853485,12.1782023409494,-6.35383994439908,-9.86558417268466,,14161,0.0
Willy Adames,18407,15986.0,sa736655,MIL,SS,12.24,12.0,5,25,14.3,85.535,MIL,SS,183.830001831054,737.844271993637,-1.18527468316064,14.934803001757,14.7495283185963,21.0591658140555,9.0,15986,5.749528319
Justin Verlander,15261,8700.0,sa277705,HOU,SP,12.23,12.0,2,33,8.0,86.164,HOU,SP,144.809997558593,558.669809913635,-25.9781650898688,16.8711655158394,-8.10699957402942,-12.4559456257387,,8700,0.0
Camilo Doval,32051,21992.0,sa916835,SFG,RP,12.16,12.0,5,29,14.8,95.597,SFG,RP,57.060001373291,516.215968513488,-31.8526263549325,53.3888204665082,22.5361941115756,32.1962351958059,9.0,21992,13.53619411
Willson Contreras,12398,11609.0,sa508176,STL,C,12.0,12.0,1,25,9.2,76.101,STL,C/DH,136.100006103515,629.968041992187,-16.1124217601842,26.5235068337783,11.411085073594,16.2353847388528,10.0,11609,1.411085074
Spencer Torkelson,38320,27465.0,sa3014504,DET,1B,11.96,12.0,4,27,18.8,96.855,DET,1B/DH,117.779998779296,784.639166665077,5.2898707238028,13.8090861894163,20.0989569132191,28.7273435520536,13.0,27465,7.098956913
Kenley Jansen,2916,3096.0,sa295200,BOS,RP,11.89,11.0,1,30,8.6,72.327,BOS,RP,126.75,429.098774671554,-43.9072853414271,53.3888204665082,10.481535125081,14.8869796146965,9.0,3096,1.481535125
Luis Arraez,20545,18568.0,sa828153,MIA,1B/2B,11.88,12.0,4,24,18.3,97.17,MIA,1B/2B,163.059997558593,764.742153644561,2.53666327720685,15.7193073478921,19.2559706250989,27.5239345997082,11.0,18568,8.255970625
Jordan Romano,21170,16122.0,sa829155,TOR,RP,11.53,11.0,4,30,16.3,94.654,TOR,RP,70.6699981689453,454.871788167953,-40.3409986527498,53.3888204665082,14.0478218137583,20.0477111018306,3.0,16122,11.04782181
Nathaniel Lowe,32765,19566.0,sa918283,TEX,1B,11.22,11.0,2,25,8.3,90.881,TEX,1B,214.919998168945,765.338254642486,2.6191475025887,13.8090861894163,17.428233692005,24.9083621502216,13.0,19566,4.428233692
Cristian Javier,22694,17606.0,sa874816,HOU,SP,11.04,11.0,3,27,10.1,79.874,HOU,SP,182.02000427246,646.174669277668,-13.8698636998069,16.8711655158394,4.00130181603247,5.43454001668471,,17606,0.0
Elly De La Cruz,36338,26668.0,sa3009289,CIN,SS/3B,10.95,10.0,4,48,22.4,97.799,CIN,3B/SS,25.8700008392334,694.815750360488,-7.13925612018588,12.1782023409494,6.03894622076358,8.41053863118456,21.0,26668,-14.96105378
Kris Bryant,18256,15429.0,sa549381,COL,1B/OF,10.91,10.0,1,36,8.5,64.151,COL,1B/OF/DH,274.380004882812,599.934222209453,-20.2682885825201,21.885622661012,2.61733407849197,3.38967392519744,,15429,0.0
Tarik Skubal,35204,22267.0,sa3007593,DET,SP,10.87,10.0,3,37,22.2,97.799,DET,SP,49.9500007629394,827.546736335754,11.2271156866943,16.8711655158394,29.0982812025338,41.4598593336013,9.0,22267,20.0982812
Jordan Montgomery,21017,16511.0,sa828875,FA,SP,10.87,11.0,5,21,13.2,93.396,,SP,155.110000610351,726.886117293313,-2.70158635721817,16.8711655158394,15.1695791586212,21.6640130990789,12.0,16511,3.169579159
Brandon Lowe,31741,18882.0,sa874181,TBR,2B,10.85,11.0,1,31,9.0,70.126,TBR,2B,269.559997558593,583.742451953887,-22.5087908325427,15.7193073478921,-5.78948348465062,-9.0317255813693,,18882,0.0
Joe Ryan,35196,21390.0,sa3007584,MIN,SP,10.83,10.0,4,24,17.6,95.597,MIN,SP,84.7300033569336,754.21508655548,1.08000244723259,16.8711655158394,18.951167963072,27.0883556687185,8.0,21390,10.95116796
Paul Skenes,43894,,sa3023079,PIT ST,SP,10.72,10.0,2,30,17.1,93.711,PIT,SP,308.890014648437,281.026482391357,-64.3964782328439,16.8711655158394,-46.5253127170045,-72.4649912873673,7.0,sa3023079,-53.52531272
Jarred Kelenic,33617,22558.0,sa3007741,ATL,OF,10.71,11.0,2,25,10.7,85.849,ATL,OF,215.630004882812,569.750450825691,-24.4449046431539,21.885622661012,-1.55928198214183,-2.79045323773176,11.0,22558,-12.55928198
Chris Bassitt,18398,12304.0,sa598294,TOR,SP,10.63,10.0,3,26,9.7,84.277,TOR,SP,131.919998168945,765.14608592987,2.59255656001697,16.8711655158394,20.4637220758563,29.7584054219226,,12304,0.0
